a,b,c,d,e,f
subdivis,,subdivis,['subdivis'],subdivis,subdivis
subflar,,subflar,['subflar'],subflar,subflar
subfreez,,subfreez,['subfreez'],subfreez,subfreez
subfunct,,subfunct,['subfunct'],subfunct,subfunct
subharmon,,subharmon,['subharmon'],subharmon,subharmon
subject,,subject,['subject'],subject,subject
sublattic,,sublattic,['sublattic'],sublattic,sublattic
sublevel,,sublevel,"['sub', 'level']",sub level,sub level
submarin,,submarin,['submarin'],submarin,submarin
submicroscop,,submicroscop,['submicroscop'],submicroscop,submicroscop
submicrosecond,,submicrosecond,"['sub', 'microsecond']",sub microsecond,sub microsecond
submillimet,,submillimet,['submillimet'],submillimet,submillimet
submillimetr,,submillimetr,['submillimetr'],submillimetr,submillimetr
submillimicrosecond,,submillimicrosecond,['submillimicrosecond'],submillimicrosecond,submillimicrosecond
subminiatur,,subminiatur,['subminiatur'],subminiatur,subminiatur
submit,submit,,,,submit
submodul,,submodul,['submodul'],submodul,submodul
submultipl,,submultipl,['submultipl'],submultipl,submultipl
subregion,,subregion,"['sub', 'region']",sub region,sub region
subroutin,,subroutin,['subroutin'],subroutin,subroutin
subscrib,,subscrib,"['subs', 'crib']",subs crib,subs crib
subsequ,,subsequ,['subsequ'],subsequ,subsequ
subsid,subsid,,,,subsid
subsidiari,,subsidiari,['subsidiari'],subsidiari,subsidiari
subsolar,,subsolar,"['sub', 'solar']",sub solar,sub solar
subspac,,subspac,['subspac'],subspac,subspac
substanc,,substanc,['substanc'],substanc,substanc
substanti,,substanti,"['subs', 'tanti']",subs tanti,subs tanti
substitut,,substitut,['substitut'],substitut,substitut
substrat,,substrat,"['subs', 'trat']",subs trat,subs trat
subsystem,,subsystem,"['sub', 'system']",sub system,sub system
subtend,,subtend,"['sub', 'tend']",sub tend,sub tend
subtract,,subtract,"['sub', 'tract']",sub tract,sub tract
subtransi,,subtransi,['subtransi'],subtransi,subtransi
subtrom,,subtrom,['subtrom'],subtrom,subtrom
subvis,subvis,,,,subvis
subvisu,,subvisu,"['sub', 'visu']",sub visu,sub visu
succeed,,succeed,['succeed'],succeed,succeed
succes,succes,,,,succes
success,,success,"['succes', 's']",succes s,succes s
successfulli,,successfulli,"['successful', 'li']",successful li,successful li
sudden,sudden,,,,sudden
suddenli,,suddenli,"['sudden', 'li']",sudden li,sudden li
suddest,,suddest,"['sudd', 'est']",sudd est,sudd est
suden,suden,,,,suden
suf,suf,,,,suf
sufac,sufac,,,,sufac
suffer,suffer,,,,suffer
suffic,suffic,,,,suffic
suffici,,suffici,['suffici'],suffici,suffici
sufficientsi,,sufficientsi,"['sufficient', 'si']",sufficient si,sufficient si
suggest,,suggest,['suggest'],suggest,suggest
suhl,suhl,,,,suhl
suit,suit,,,,suit
suitabl,,suitabl,['suitabl'],suitabl,suitabl
sulfid,sulfid,,,,sulfid
sulphat,,sulphat,"['sul', 'phat', 'sulpha', 't']",sul phat sulpha t,sul phat sulpha t
sulphur,,sulphur,['sulphur'],sulphur,sulphur
sulzer,sulzer,,,,sulzer
sum,sum,,,,sum
sume,sume,,,,sume
summar,summar,,,,summar
summari,,summari,"['sum', 'mari', 'summa', 'ri', 'summar', 'i']",sum mari summa ri summar i,sum mari summa ri summar i
summat,summat,,,,summat
summer,summer,,,,summer
sun,sun,,,,sun
sundur,sundur,,,,sundur
sunfac,sunfac,,,,sunfac
sunlight,,sunlight,"['sun', 'light']",sun light,sun light
sunlit,sunlit,,,,sunlit
sunris,sunris,,,,sunris
sunset,sunset,,,,sunset
sunsport,,sunsport,"['sun', 'sport', 'suns', 'port']",sun sport suns port,sun sport suns port
sunspot,,sunspot,"['sun', 'spot', 'suns', 'pot']",sun spot suns pot,sun spot suns pot
sunstein,,sunstein,"['sun', 'stein']",sun stein,sun stein
sunusoid,,sunusoid,['sunusoid'],sunusoid,sunusoid
super,super,,,,super
supercondu,,supercondu,['supercondu'],supercondu,supercondu
superconduct,,superconduct,"['super', 'conduct']",super conduct,super conduct
superconductor,,superconductor,"['super', 'conductor', 'superconduct', 'or']",super conductor superconduct or,super conductor superconduct or
supercool,,supercool,"['super', 'cool']",super cool,super cool
superdirect,,superdirect,"['super', 'direct']",super direct,super direct
superexchang,,superexchang,['superexchang'],superexchang,superexchang
superfici,,superfici,['superfici'],superfici,superfici
supergalaxi,,supergalaxi,['supergalaxi'],supergalaxi,supergalaxi
superheterodyn,,superheterodyn,['superheterodyn'],superheterodyn,superheterodyn
superimpos,,superimpos,['superimpos'],superimpos,superimpos
superior,,superior,['superior'],superior,superior
superlight,,superlight,"['super', 'light']",super light,super light
supermalloi,,supermalloi,['supermalloi'],supermalloi,supermalloi
supernova,,supernova,"['super', 'nova']",super nova,super nova
superpos,,superpos,"['super', 'pos']",super pos,super pos
superposit,,superposit,"['super', 'posit']",super posit,super posit
superregen,,superregen,['superregen'],superregen,superregen
superson,,superson,"['super', 'son', 'supers', 'on']",super son supers on,super son supers on
supervis,,supervis,"['super', 'vis']",super vis,super vis
supplement,,supplement,"['supple', 'ment']",supple ment,supple ment
supplementari,,supplementari,['supplementari'],supplementari,supplementari
suppli,suppli,,,,suppli
support,,support,"['sup', 'port']",sup port,sup port
suppos,suppos,,,,suppos
supposit,,supposit,"['sup', 'posit']",sup posit,sup posit
suppress,,suppress,"['sup', 'press']",sup press,sup press
suppressor,,suppressor,"['sup', 'pressor', 'suppress', 'or']",sup pressor suppress or,sup pressor suppress or
surement,,surement,"['sure', 'ment']",sure ment,sure ment
surfac,surfac,,,,surfac
surg,surg,,,,surg
surrei,surrei,,,,surrei
surrend,,surrend,"['sur', 'rend']",sur rend,sur rend
surroudn,,surroudn,['surroudn'],surroudn,surroudn
surround,,surround,"['sur', 'round']",sur round,sur round
survei,survei,,,,survei
suscept,,suscept,['suscept'],suscept,suscept
suspend,,suspend,"['sus', 'pend']",sus pend,sus pend
suspens,,suspens,"['sus', 'pens']",sus pens,sus pens
sustain,,sustain,['sustain'],sustain,sustain
sutherland,,sutherland,['sutherland'],sutherland,sutherland
sw,sw,,,,sw
swac,swac,,,,swac
swamp,swamp,,,,swamp
swansea,,swansea,"['swan', 'sea', 'swans', 'ea']",swan sea swans ea,swan sea swans ea
swarm,swarm,,,,swarm
sweden,sweden,,,,sweden
swedish,,swedish,['swedish'],swedish,swedish
sweep,sweep,,,,sweep
sweeper,,sweeper,"['s', 'weeper', 'sweep', 'er']",s weeper sweep er,s weeper sweep er
sweet,sweet,,,,sweet
swept,swept,,,,swept
swf,swf,,,,swf
swi,swi,,,,swi
swiftli,,swiftli,"['swift', 'li']",swift li,swift li
swing,swing,,,,swing
swingeloo,,swingeloo,"['swinge', 'loo']",swinge loo,swinge loo
swish,swish,,,,swish
swiss,swiss,,,,swiss
switch,switch,,,,switch
switchabl,,switchabl,['switchabl'],switchabl,switchabl
switchboard,,switchboard,"['switch', 'board']",switch board,switch board
switzerland,,switzerland,"['switzer', 'land']",switzer land,switzer land
swr,swr,,,,swr
swting,swting,,,,swting
sy,sy,,,,sy
sydnei,sydnei,,,,sydnei
symbo,symbo,,,,symbo
symbol,symbol,,,,symbol
symmetr,,symmetr,['symmetr'],symmetr,symmetr
symmetri,,symmetri,['symmetri'],symmetri,symmetri
symon,symon,,,,symon
symposia,,symposia,['symposia'],symposia,symposia
symposium,,symposium,['symposium'],symposium,symposium
sync,sync,,,,sync
synchron,,synchron,"['synch', 'ron', 'synchro', 'n']",synch ron synchro n,synch ron synchro n
synchronon,,synchronon,"['synchro', 'non']",synchro non,synchro non
synchrotron,,synchrotron,"['synchro', 'tron']",synchro tron,synchro tron
syng,syng,,,,syng
synthes,,synthes,"['synth', 'es']",synth es,synth es
synthesi,,synthesi,['synthesi'],synthesi,synthesi
synthet,,synthet,"['synth', 'et']",synth et,synth et
syowa,syowa,,,,syowa
sype,sype,,,,sype
syst,syst,,,,syst
system,system,,,,system
systemat,,systemat,"['system', 'at']",system at,system at
sytem,sytem,,,,sytem
sytemat,,sytemat,['sytemat'],sytemat,sytemat
sz,sz,,,,sz
szendrei,,szendrei,['szendrei'],szendrei,szendrei
ta,ta,,,,ta
tabl,tabl,,,,tabl
tabul,tabul,,,,tabul
tabular,,tabular,"['tabu', 'lar', 'tabula', 'r']",tabu lar tabula r,tabu lar tabula r
tachomet,,tachomet,"['tacho', 'met']",tacho met,tacho met
tachometr,,tachometr,['tachometr'],tachometr,tachometr
tafeln,tafeln,,,,tafeln
tahiti,tahiti,,,,tahiti
tail,tail,,,,tail
taipet,taipet,,,,taipet
take,take,,,,take
taken,taken,,,,taken
tali,tali,,,,tali
talk,talk,,,,talk
tamal,tamal,,,,tamal
tamanrasset,,tamanrasset,['tamanrasset'],tamanrasset,tamanrasset
tamm,tamm,,,,tamm
tan,tan,,,,tan
tandberg,,tandberg,['tandberg'],tandberg,tandberg
tandem,tandem,,,,tandem
tangent,,tangent,"['tan', 'gent']",tan gent,tan gent
tangenti,,tangenti,"['tangent', 'i']",tangent i,tangent i
tangl,tangl,,,,tangl
tank,tank,,,,tank
tantalum,,tantalum,"['tant', 'alum']",tant alum,tant alum
tantri,tantri,,,,tantri
tap,tap,,,,tap
tape,tape,,,,tape
taper,taper,,,,taper
target,target,,,,target
tarnish,,tarnish,"['tarn', 'ish']",tarn ish,tarn ish
tashkent,,tashkent,"['tash', 'kent']",tash kent,tash kent
task,task,,,,task
tasman,tasman,,,,tasman
tasmania,,tasmania,"['tas', 'mania']",tas mania,tas mania
tasni,tasni,,,,tasni
tatio,tatio,,,,tatio
tatolectromagnet,,tatolectromagnet,['tatolectromagnet'],tatolectromagnet,tatolectromagnet
tatsfield,,tatsfield,"['tats', 'field']",tats field,tats field
tau,tau,,,,tau
taubenheim,,taubenheim,['taubenheim'],taubenheim,taubenheim
taur,taur,,,,taur
tauru,tauru,,,,tauru
taylor,taylor,,,,taylor
tbl,tbl,,,,tbl
tchebycheff,,tchebycheff,['tchebycheff'],tchebycheff,tchebycheff
tcherenkov,,tcherenkov,"['t', 'cherenkov']",t cherenkov,t cherenkov
tdc,tdc,,,,tdc
te,te,,,,te
teach,teach,,,,teach
teacher,,teacher,"['tea', 'cher', 'teach', 'er']",tea cher teach er,tea cher teach er
tear,tear,,,,tear
tech,tech,,,,tech
technic,,technic,['technic'],technic,technic
technik,,technik,['technik'],technik,technik
technion,,technion,['technion'],technion,technion
techniq,,techniq,['techniq'],techniq,techniq
techniqu,,techniqu,['techniqu'],techniqu,techniqu
technisch,,technisch,['technisch'],technisch,technisch
technograph,,technograph,"['techno', 'graph']",techno graph,techno graph
technolog,,technolog,"['techno', 'log']",techno log,techno log
ted,ted,,,,ted
tee,tee,,,,tee
teeth,teeth,,,,teeth
teflon,teflon,,,,teflon
teh,teh,,,,teh
teke,teke,,,,teke
telecommun,,telecommun,"['telecom', 'mun']",telecom mun,telecom mun
teledelto,,teledelto,['teledelto'],teledelto,teledelto
telefunken,,telefunken,['telefunken'],telefunken,telefunken
telegraph,,telegraph,"['tele', 'graph']",tele graph,tele graph
telegraphi,,telegraphi,"['telegraph', 'i']",telegraph i,telegraph i
telemechan,,telemechan,['telemechan'],telemechan,telemechan
telemet,,telemet,"['tele', 'met']",tele met,tele met
telemetri,,telemetri,['telemetri'],telemetri,telemetri
telephon,,telephon,"['tele', 'phon']",tele phon,tele phon
telephoni,,telephoni,['telephoni'],telephoni,telephoni
teleprint,,teleprint,"['tele', 'print']",tele print,tele print
telescop,,telescop,"['tele', 'scop']",tele scop,tele scop
teletyp,,teletyp,['teletyp'],teletyp,teletyp
televis,,televis,"['te', 'levis', 'tele', 'vis']",te levis tele vis,te levis tele vis
tellegen,,tellegen,['tellegen'],tellegen,tellegen
tellur,tellur,,,,tellur
tellurium,,tellurium,['tellurium'],tellurium,tellurium
tem,tem,,,,tem
temper,temper,,,,temper
temperat,,temperat,"['temp', 'erat', 'tempe', 'rat', 'temper', 'at', 'tempera', 't']",temp erat tempe rat temper at tempera t,temp erat tempe rat temper at tempera t
temperatur,,temperatur,['temperatur'],temperatur,temperatur
temperratur,,temperratur,['temperratur'],temperratur,temperratur
templat,,templat,"['tem', 'plat', 'temp', 'lat']",tem plat temp lat,tem plat temp lat
templeton,,templeton,"['temple', 'ton', 'templet', 'on']",temple ton templet on,temple ton templet on
tempor,tempor,,,,tempor
temporari,,temporari,"['tempora', 'ri']",tempora ri,tempora ri
ten,ten,,,,ten
tend,tend,,,,tend
tendenc,,tendenc,['tendenc'],tendenc,tendenc
tenit,tenit,,,,tenit
tennesse,,tennesse,"['tenne', 'sse']",tenne sse,tenne sse
tensil,tensil,,,,tensil
tension,,tension,"['ten', 'sion', 'tens', 'ion']",ten sion tens ion,ten sion tens ion
tensor,tensor,,,,tensor
tensori,,tensori,"['ten', 'sori', 'tensor', 'i']",ten sori tensor i,ten sori tensor i
tent,tent,,,,tent
tenth,tenth,,,,tenth
teometri,,teometri,['teometri'],teometri,teometri
tepid,tepid,,,,tepid
tept,tept,,,,tept
ter,ter,,,,ter
tera,tera,,,,tera
terist,terist,,,,terist
term,term,,,,term
termal,termal,,,,termal
termin,termin,,,,termin
terminolog,,terminolog,['terminolog'],terminolog,terminolog
ternari,,ternari,['ternari'],ternari,ternari
terof,terof,,,,terof
terr,terr,,,,terr
terrella,,terrella,['terrella'],terrella,terrella
terrestri,,terrestri,['terrestri'],terrestri,terrestri
tesla,tesla,,,,tesla
tesser,tesser,,,,tesser
test,test,,,,test
tester,tester,,,,tester
tet,tet,,,,tet
tetelbaum,,tetelbaum,['tetelbaum'],tetelbaum,tetelbaum
tether,tether,,,,tether
tetradecan,,tetradecan,['tetradecan'],tetradecan,tetradecan
tetragon,,tetragon,['tetragon'],tetragon,tetragon
tetrahedron,,tetrahedron,['tetrahedron'],tetrahedron,tetrahedron
tetrod,tetrod,,,,tetrod
texa,texa,,,,texa
text,text,,,,text
textbook,,textbook,"['text', 'book']",text book,text book
th,th,,,,th
tha,tha,,,,tha
thallium,,thallium,"['thalli', 'um']",thalli um,thalli um
tham,tham,,,,tham
thd,thd,,,,thd
the,the,,,,the
theater,,theater,"['t', 'heater']",t heater,t heater
thef,thef,,,,thef
theflect,,theflect,['theflect'],theflect,theflect
thegauss,,thegauss,"['the', 'gauss']",the gauss,the gauss
thei,thei,,,,thei
theopocoupl,,theopocoupl,['theopocoupl'],theopocoupl,theopocoupl
theorem,,theorem,['theorem'],theorem,theorem
theoret,,theoret,['theoret'],theoret,theoret
theoretisch,,theoretisch,['theoretisch'],theoretisch,theoretisch
theori,theori,,,,theori
thereof,,thereof,"['t', 'hereof', 'there', 'of']",t hereof there of,t hereof there of
thermal,,thermal,"['therm', 'al']",therm al,therm al
thermd,thermd,,,,thermd
thermin,,thermin,"['therm', 'in']",therm in,therm in
thermion,,thermion,"['therm', 'ion']",therm ion,therm ion
thermistor,,thermistor,['thermistor'],thermistor,thermistor
thermo,thermo,,,,thermo
thermoconduct,,thermoconduct,"['thermo', 'conduct']",thermo conduct,thermo conduct
thermocoupl,,thermocoupl,['thermocoupl'],thermocoupl,thermocoupl
thermodielectr,,thermodielectr,['thermodielectr'],thermodielectr,thermodielectr
thermodynam,,thermodynam,['thermodynam'],thermodynam,thermodynam
thermoel,,thermoel,"['thermo', 'el']",thermo el,thermo el
thermoelectr,,thermoelectr,['thermoelectr'],thermoelectr,thermoelectr
thermoelectron,,thermoelectron,"['thermo', 'electron']",thermo electron,thermo electron
thermoluminesc,,thermoluminesc,['thermoluminesc'],thermoluminesc,thermoluminesc
thermomagnet,,thermomagnet,"['thermo', 'magnet']",thermo magnet,thermo magnet
thermomet,,thermomet,"['thermo', 'met']",thermo met,thermo met
thermon,,thermon,"['therm', 'on', 'thermo', 'n']",therm on thermo n,therm on thermo n
thermoneg,,thermoneg,['thermoneg'],thermoneg,thermoneg
thermonuclear,,thermonuclear,"['thermo', 'nuclear']",thermo nuclear,thermo nuclear
thermopil,,thermopil,['thermopil'],thermopil,thermopil
thermoplast,,thermoplast,"['thermo', 'plast']",thermo plast,thermo plast
thermoposit,,thermoposit,"['thermo', 'posit']",thermo posit,thermo posit
thermospher,,thermospher,['thermospher'],thermospher,thermospher
thermostat,,thermostat,"['thermos', 'tat']",thermos tat,thermos tat
thesi,thesi,,,,thesi
thesun,thesun,,,,thesun
thet,thet,,,,thet
thetend,,thetend,"['the', 'tend']",the tend,the tend
thevenin,,thevenin,"['the', 'venin']",the venin,the venin
thick,thick,,,,thick
thicker,,thicker,"['thick', 'er']",thick er,thick er
thid,thid,,,,thid
thin,thin,,,,thin
thininti,,thininti,"['thin', 'inti']",thin inti,thin inti
think,think,,,,think
thinner,,thinner,['thinner'],thinner,thinner
thiod,thiod,,,,thiod
third,third,,,,third
thirteen,,thirteen,"['thir', 'teen']",thir teen,thir teen
thirti,thirti,,,,thirti
thixotrop,,thixotrop,['thixotrop'],thixotrop,thixotrop
thk,thk,,,,thk
thmomagnet,,thmomagnet,['thmomagnet'],thmomagnet,thmomagnet
thn,thn,,,,thn
thod,thod,,,,thod
thoe,thoe,,,,thoe
thoma,thoma,,,,thoma
thompson,,thompson,['thompson'],thompson,thompson
thomson,,thomson,['thomson'],thomson,thomson
thoria,thoria,,,,thoria
thormospher,,thormospher,['thormospher'],thormospher,thormospher
thought,,thought,"['though', 't']",though t,though t
thousand,,thousand,"['thou', 'sand', 'thous', 'and']",thou sand thous and,thou sand thous and
thousandth,,thousandth,['thousandth'],thousandth,thousandth
thown,thown,,,,thown
thr,thr,,,,thr
thre,thre,,,,thre
thread,thread,,,,thread
threefold,,threefold,"['three', 'fold']",three fold,three fold
threse,threse,,,,threse
threshold,,threshold,"['thresh', 'old']",thresh old,thresh old
throat,throat,,,,throat
throw,throw,,,,throw
tht,tht,,,,tht
thule,thule,,,,thule
thump,thump,,,,thump
thunder,,thunder,['thunder'],thunder,thunder
thundercloud,,thundercloud,"['thunder', 'cloud']",thunder cloud,thunder cloud
thunderstorm,,thunderstorm,"['thunder', 'storm']",thunder storm,thunder storm
thyratron,,thyratron,['thyratron'],thyratron,thyratron
thyrit,thyrit,,,,thyrit
thzn,thzn,,,,thzn
ti,ti,,,,ti
tiat,tiat,,,,tiat
ticular,,ticular,['ticular'],ticular,ticular
tidal,tidal,,,,tidal
tide,tide,,,,tide
tie,tie,,,,tie
tightli,,tightli,"['tight', 'li']",tight li,tight li
tilt,tilt,,,,tilt
tim,tim,,,,tim
time,time,,,,time
timebas,,timebas,"['time', 'bas']",time bas,time bas
timer,timer,,,,timer
timit,timit,,,,timit
tin,tin,,,,tin
ting,ting,,,,ting
tingl,tingl,,,,tingl
tio,tio,,,,tio
tion,tion,,,,tion
tip,tip,,,,tip
tiro,tiro,,,,tiro
titan,titan,,,,titan
titania,,titania,['titania'],titania,titania
titanium,,titanium,['titanium'],titanium,titanium
titant,titant,,,,titant
titl,titl,,,,titl
tive,tive,,,,tive
tix,tix,,,,tix
tje,tje,,,,tje
tl,tl,,,,tl
tly,tly,,,,tly
tm,tm,,,,tm
tnd,tnd,,,,tnd
toag,toag,,,,toag
toil,toil,,,,toil
toitot,toitot,,,,toitot
tokio,tokio,,,,tokio
tokyo,tokyo,,,,tokyo
toler,toler,,,,toler
tolmachev,,tolmachev,['tolmachev'],tolmachev,tolmachev
toluen,toluen,,,,toluen
tomonaga,,tomonaga,['tomonaga'],tomonaga,tomonaga
ton,ton,,,,ton
tone,tone,,,,tone
tonk,tonk,,,,tonk
took,took,,,,took
tool,tool,,,,tool
toolangi,,toolangi,['toolangi'],toolangi,toolangi
tootal,tootal,,,,tootal
tooth,tooth,,,,tooth
top,top,,,,top
topic,topic,,,,topic
topmost,,topmost,"['top', 'most']",top most,top most
topolog,,topolog,['topolog'],topolog,topolog
topsid,topsid,,,,topsid
torch,torch,,,,torch
torm,torm,,,,torm
tornadotron,,tornadotron,"['tornado', 'tron']",tornado tron,tornado tron
toroid,toroid,,,,toroid
torqu,torqu,,,,torqu
torr,torr,,,,torr
torsion,,torsion,"['tor', 'sion', 'tors', 'ion', 'torsi', 'on']",tor sion tors ion torsi on,tor sion tors ion torsi on
tortosa,,tortosa,"['tor', 'tosa']",tor tosa,tor tosa
toru,toru,,,,toru
toss,toss,,,,toss
total,total,,,,total
totalit,,totalit,"['tot', 'alit', 'total', 'it']",tot alit total it,tot alit total it
totol,totol,,,,totol
touch,touch,,,,touch
toulous,,toulous,['toulous'],toulous,toulous
tout,tout,,,,tout
tow,tow,,,,tow
tower,tower,,,,tower
town,town,,,,town
townsend,,townsend,"['town', 'send', 'towns', 'end']",town send towns end,town send towns end
toyokawa,,toyokawa,['toyokawa'],toyokawa,toyokawa
tr,tr,,,,tr
tra,tra,,,,tra
trace,trace,,,,trace
tracer,tracer,,,,tracer
track,track,,,,track
tracker,,tracker,"['t', 'racker', 'track', 'er']",t racker track er,t racker track er
tractori,,tractori,"['trac', 'tori', 'tractor', 'i']",trac tori tractor i,trac tori tractor i
tractrix,,tractrix,"['trac', 'trix', 'tract', 'rix']",trac trix tract rix,trac trix tract rix
trade,trade,,,,trade
tradic,tradic,,,,tradic
traditor,,traditor,['traditor'],traditor,traditor
traeel,traeel,,,,traeel
traffic,,traffic,['traffic'],traffic,traffic
trail,trail,,,,trail
train,train,,,,train
trajector,,trajector,"['traject', 'or']",traject or,traject or
trajectori,,trajectori,['trajectori'],trajectori,trajectori
trambarulo,,trambarulo,['trambarulo'],trambarulo,trambarulo
tran,tran,,,,tran
transact,,transact,"['trans', 'act']",trans act,trans act
transactor,,transactor,"['trans', 'actor', 'transact', 'or']",trans actor transact or,trans actor transact or
transaent,,transaent,['transaent'],transaent,transaent
transatlant,,transatlant,['transatlant'],transatlant,transatlant
transboost,,transboost,"['trans', 'boost']",trans boost,trans boost
transcendent,,transcendent,['transcendent'],transcendent,transcendent
transconduct,,transconduct,"['trans', 'conduct']",trans conduct,trans conduct
transcrib,,transcrib,"['trans', 'crib']",trans crib,trans crib
transduc,,transduc,['transduc'],transduc,transduc
transduct,,transduct,"['trans', 'duct']",trans duct,trans duct
transductor,,transductor,['transductor'],transductor,transductor
transequatori,,transequatori,['transequatori'],transequatori,transequatori
transf,transf,,,,transf
transfer,,transfer,"['trans', 'fer']",trans fer,trans fer
transfluxor,,transfluxor,['transfluxor'],transfluxor,transfluxor
transform,,transform,"['trans', 'form']",trans form,trans form
transformerless,,transformerless,"['transformer', 'less']",transformer less,transformer less
transien,,transien,['transien'],transien,transien
transient,,transient,['transient'],transient,transient
transillumin,,transillumin,['transillumin'],transillumin,transillumin
transimped,,transimped,"['trans', 'imped']",trans imped,trans imped
transist,,transist,['transist'],transist,transist
transisto,,transisto,['transisto'],transisto,transisto
transistor,,transistor,['transistor'],transistor,transistor
transistron,,transistron,['transistron'],transistron,transistron
transit,,transit,"['trans', 'it']",trans it,trans it
transition,,transition,"['transit', 'ion']",transit ion,transit ion
transitor,,transitor,"['transit', 'or']",transit or,transit or
transitori,,transitori,['transitori'],transitori,transitori
transitron,,transitron,"['transit', 'ron']",transit ron,transit ron
translat,,translat,"['trans', 'lat']",trans lat,trans lat
transmiss,,transmiss,"['trans', 'miss']",trans miss,trans miss
transmit,,transmit,['transmit'],transmit,transmit
transmitt,,transmitt,"['trans', 'mitt', 'transmit', 't']",trans mitt transmit t,trans mitt transmit t
transocean,,transocean,"['trans', 'ocean']",trans ocean,trans ocean
transp,transp,,,,transp
transpar,,transpar,"['trans', 'par']",trans par,trans par
transpolar,,transpolar,"['trans', 'polar']",trans polar,trans polar
transpond,,transpond,"['trans', 'pond']",trans pond,trans pond
transport,,transport,"['trans', 'port']",trans port,trans port
transpos,,transpos,"['trans', 'pos']",trans pos,trans pos
transposit,,transposit,"['trans', 'posit']",trans posit,trans posit
transreson,,transreson,['transreson'],transreson,transreson
transudctor,,transudctor,['transudctor'],transudctor,transudctor
transvar,,transvar,"['trans', 'var']",trans var,trans var
transver,,transver,['transver'],transver,transver
transvers,,transvers,"['trans', 'vers']",trans vers,trans vers
trap,trap,,,,trap
trapezoid,,trapezoid,['trapezoid'],trapezoid,trapezoid
trappin,,trappin,"['trap', 'pin']",trap pin,trap pin
travel,travel,,,,travel
travers,,travers,"['t', 'ravers', 'tra', 'vers']",t ravers tra vers,t ravers tra vers
travi,travi,,,,travi
tre,tre,,,,tre
treat,treat,,,,treat
treatment,,treatment,"['treat', 'ment']",treat ment,treat ment
trebl,trebl,,,,trebl
tredgold,,tredgold,['tredgold'],tredgold,tredgold
tree,tree,,,,tree
trend,trend,,,,trend
trendelenburg,,trendelenburg,['trendelenburg'],trendelenburg,trendelenburg
trentini,,trentini,['trentini'],trentini,trentini
tri,tri,,,,tri
triad,triad,,,,triad
trial,trial,,,,trial
triangl,,triangl,['triangl'],triangl,triangl
triangul,,triangul,['triangul'],triangul,triangul
triangular,,triangular,"['tri', 'angular']",tri angular,tri angular
triangularli,,triangularli,"['triangular', 'li']",triangular li,triangular li
trichloracetonitril,,trichloracetonitril,['trichloracetonitril'],trichloracetonitril,trichloracetonitril
trichlorid,,trichlorid,['trichlorid'],trichlorid,trichlorid
trichloroacet,,trichloroacet,['trichloroacet'],trichloroacet,trichloroacet
trichromat,,trichromat,['trichromat'],trichromat,trichromat
trid,trid,,,,trid
tridac,tridac,,,,tridac
trigger,,trigger,"['t', 'rigger']",t rigger,t rigger
triglycin,,triglycin,"['tri', 'glycin']",tri glycin,tri glycin
trigon,trigon,,,,trigon
trigonometr,,trigonometr,['trigonometr'],trigonometr,trigonometr
trigonometri,,trigonometri,['trigonometri'],trigonometri,trigonometri
trinistor,,trinistor,['trinistor'],trinistor,trinistor
triod,triod,,,,triod
trip,trip,,,,trip
tripl,tripl,,,,tripl
tripler,,tripler,"['triple', 'r']",triple r,triple r
triplet,,triplet,"['trip', 'let', 'triple', 't']",trip let triple t,trip let triple t
tristabl,,tristabl,['tristabl'],tristabl,tristabl
tristimulu,,tristimulu,['tristimulu'],tristimulu,tristimulu
tritium,,tritium,['tritium'],tritium,tritium
triton,triton,,,,triton
trivandrum,,trivandrum,['trivandrum'],trivandrum,trivandrum
trivelpiec,,trivelpiec,['trivelpiec'],trivelpiec,trivelpiec
trlation,,trlation,['trlation'],trlation,trlation
trn,trn,,,,trn
trochoid,,trochoid,['trochoid'],trochoid,trochoid
trochotron,,trochotron,['trochotron'],trochotron,trochotron
troi,troi,,,,troi
trolitul,,trolitul,['trolitul'],trolitul,trolitul
tromso,tromso,,,,tromso
tronic,tronic,,,,tronic
tropic,tropic,,,,tropic
tropopaus,,tropopaus,['tropopaus'],tropopaus,tropopaus
troposcatt,,troposcatt,['troposcatt'],troposcatt,troposcatt
tropospher,,tropospher,['tropospher'],tropospher,tropospher
troubl,troubl,,,,troubl
trough,trough,,,,trough
true,true,,,,true
truli,truli,,,,truli
truncat,,truncat,['truncat'],truncat,truncat
trunk,trunk,,,,trunk
trustworthi,,trustworthi,['trustworthi'],trustworthi,trustworthi
truth,truth,,,,truth
try,try,,,,try
ts,ts,,,,ts
tschebyscheff,,tschebyscheff,['tschebyscheff'],tschebyscheff,tschebyscheff
tschiassni,,tschiassni,['tschiassni'],tschiassni,tschiassni
tschu,tschu,,,,tschu
tsf,tsf,,,,tsf
tso,tso,,,,tso
tsumeb,tsumeb,,,,tsumeb
tther,tther,,,,tther
tube,tube,,,,tube
tubular,,tubular,['tubular'],tubular,tubular
tucson,tucson,,,,tucson
tumbl,tumbl,,,,tumbl
tunabl,tunabl,,,,tunabl
tune,tune,,,,tune
tuner,tuner,,,,tuner
tungsten,,tungsten,"['tung', 'sten', 'tungs', 'ten']",tung sten tungs ten,tung sten tungs ten
tunnel,tunnel,,,,tunnel
turbul,turbul,,,,turbul
ture,ture,,,,ture
turin,turin,,,,turin
turn,turn,,,,turn
turnov,turnov,,,,turnov
turor,turor,,,,turor
